nb_win_team_home,nb_win_team_away,ranking_team_home,ranking_team_home,result
22,10,2.0,25.0,MEM
15,18,17.0,8.0,MIA
8,4,26.0,29.0,SAS
17,13,12.0,22.0,UTA
5,15,29.0,16.0,BRK
15,7,20.0,27.0,CHO
18,10,9.0,25.0,MEM
18,23,7.0,3.0,MIL
18,17,11.0,13.0,NYK
23,20,2.0,6.0,OKC
15,21,18.0,5.0,PHI
12,17,23.0,14.0,SAC
8,5,26.0,28.0,SAS
24,12,1.0,24.0,TOR
15,18,18.0,9.0,DAL
23,17,4.0,12.0,LAL
13,19,22.0,7.0,MIA
16,17,16.0,14.0,NYK
14,22,21.0,5.0,PHI
2,12,30.0,24.0,TOR
6,12,28.0,23.0,ATL
5,25,29.0,1.0,BOS
21,15,6.0,18.0,BRK
18,17,12.0,14.0,LAL
16,19,17.0,8.0,ORL
10,18,25.0,13.0,SAC
23,7,4.0,27.0,CHO
12,18,24.0,11.0,CLE
14,19,22.0,7.0,DAL
15,3,20.0,30.0,DET
24,17,2.0,14.0,IND
19,19,8.0,9.0,MIA
17,24,16.0,3.0,MIN
17,9,17.0,26.0,POR
22,26,5.0,1.0,BOS
19,15,10.0,18.0,BRK
22,15,6.0,19.0,CHI
19,7,12.0,27.0,CHO
15,19,20.0,11.0,ORL
10,5,25.0,29.0,SAS
16,15,18.0,19.0,BRK
18,15,15.0,20.0,CHI
15,3,22.0,30.0,DET
18,20,16.0,7.0,LAC
17,19,17.0,10.0,MIA
18,24,14.0,2.0,MIL
24,20,3.0,8.0,NOP
13,23,23.0,5.0,OKC
19,19,12.0,11.0,ORL
19,9,9.0,26.0,POR
11,13,25.0,24.0,TOR
18,6,13.0,28.0,WAS
16,24,18.0,2.0,DEN
5,24,29.0,3.0,MIL
19,14,13.0,23.0,ATL
15,8,22.0,27.0,CHO
16,3,19.0,30.0,DET
21,21,8.0,7.0,LAC
17,11,18.0,25.0,MEM
18,20,16.0,10.0,MIA
17,24,17.0,4.0,MIN
23,19,6.0,14.0,NYK
15,23,21.0,5.0,OKC
25,19,2.0,15.0,ORL
20,9,9.0,26.0,POR
20,14,11.0,24.0,TOR
26,16,1.0,20.0,UTA
19,6,12.0,28.0,WAS
20,27,10.0,1.0,BOS
17,25,17.0,3.0,MIL
6,20,28.0,12.0,NYK
23,16,6.0,20.0,UTA
20,14,15.0,23.0,ATL
25,3,2.0,30.0,DET
17,22,19.0,7.0,LAC
19,12,16.0,25.0,MEM
21,25,8.0,4.0,MIN
21,21,10.0,9.0,NOP
16,9,20.0,26.0,POR
20,5,11.0,29.0,SAS
17,14,17.0,24.0,TOR
20,28,12.0,1.0,BOS
8,16,27.0,22.0,CHI
20,18,13.0,17.0,HOU
6,23,28.0,5.0,OKC
22,19,7.0,16.0,PHO
25,17,3.0,20.0,UTA
22,13,7.0,25.0,MEM
21,25,11.0,4.0,MIN
21,10,10.0,26.0,POR
3,21,30.0,12.0,SAC
18,15,18.0,23.0,TOR
