Team,Win,Date,Ranking
CHI,0,2023-10-27,15.0
CLE,1,2023-10-27,3.0
DAL,1,2023-10-27,4.0
DEN,1,2023-10-27,5.0
DET,0,2023-10-27,16.0
GSW,0,2023-10-27,17.0
HOU,0,2023-10-27,18.0
IND,0,2023-10-27,19.0
LAC,1,2023-10-27,6.0
LAL,0,2023-10-27,20.0
MEM,0,2023-10-27,21.0
MIA,1,2023-10-27,7.0
MIL,0,2023-10-27,22.0
MIN,0,2023-10-27,23.0
NOP,0,2023-10-27,24.0
NYK,0,2023-10-27,25.0
OKC,1,2023-10-27,8.0
ORL,1,2023-10-27,9.0
PHI,0,2023-10-27,26.0
PHO,1,2023-10-27,10.0
POR,0,2023-10-27,27.0
SAC,1,2023-10-27,11.0
SAS,0,2023-10-27,28.0
TOR,1,2023-10-27,12.0
UTA,0,2023-10-27,29.0
WAS,0,2023-10-27,30.0
ATL,0,2023-10-28,19.0
BOS,1,2023-10-28,1.0
BRK,0,2023-10-28,20.0
CHO,1,2023-10-28,2.0
CHI,1,2023-10-28,3.0
CLE,1,2023-10-28,4.0
DAL,1,2023-10-28,5.0
DEN,1,2023-10-28,6.0
DET,1,2023-10-28,7.0
GSW,0,2023-10-28,21.0
HOU,0,2023-10-28,22.0
IND,1,2023-10-28,8.0
LAC,1,2023-10-28,9.0
LAL,0,2023-10-28,23.0
MEM,0,2023-10-28,24.0
MIA,1,2023-10-28,10.0
MIL,0,2023-10-28,25.0
MIN,0,2023-10-28,26.0
NOP,1,2023-10-28,11.0
NYK,1,2023-10-28,12.0
OKC,1,2023-10-28,13.0
ORL,1,2023-10-28,14.0
PHI,0,2023-10-28,27.0
PHO,1,2023-10-28,15.0
POR,0,2023-10-28,28.0
SAC,1,2023-10-28,16.0
SAS,0,2023-10-28,29.0
TOR,1,2023-10-28,17.0
UTA,1,2023-10-28,18.0
WAS,0,2023-10-28,30.0
ATL,0,2023-10-29,24.0
BOS,1,2023-10-29,3.0
BRK,0,2023-10-29,25.0
CHO,1,2023-10-29,4.0
CHI,1,2023-10-29,5.0
CLE,1,2023-10-29,6.0
DAL,1,2023-10-29,7.0
DEN,2,2023-10-29,1.0
DET,1,2023-10-29,8.0
GSW,1,2023-10-29,9.0
HOU,0,2023-10-29,26.0
IND,1,2023-10-29,10.0
LAC,1,2023-10-29,11.0
LAL,1,2023-10-29,12.0
MEM,0,2023-10-29,27.0
MIA,1,2023-10-29,13.0
MIL,1,2023-10-29,14.0
MIN,0,2023-10-29,28.0
NOP,1,2023-10-29,15.0
NYK,1,2023-10-29,16.0
OKC,2,2023-10-29,2.0
ORL,1,2023-10-29,17.0
PHI,1,2023-10-29,18.0
PHO,1,2023-10-29,19.0
POR,0,2023-10-29,29.0
SAC,1,2023-10-29,20.0
SAS,1,2023-10-29,21.0
TOR,1,2023-10-29,22.0
UTA,1,2023-10-29,23.0
WAS,0,2023-10-29,30.0
ATL,1,2023-10-30,10.0
BOS,2,2023-10-30,2.0
BRK,0,2023-10-30,27.0
CHO,1,2023-10-30,11.0
CHI,1,2023-10-30,12.0
CLE,1,2023-10-30,13.0
DAL,2,2023-10-30,3.0
DEN,3,2023-10-30,1.0
DET,2,2023-10-30,4.0
GSW,2,2023-10-30,5.0
HOU,0,2023-10-30,28.0
IND,2,2023-10-30,6.0
LAC,1,2023-10-30,14.0
LAL,1,2023-10-30,15.0
MEM,0,2023-10-30,29.0
MIA,1,2023-10-30,16.0
MIL,1,2023-10-30,17.0
MIN,1,2023-10-30,18.0
NOP,2,2023-10-30,7.0
NYK,1,2023-10-30,19.0
OKC,2,2023-10-30,8.0
ORL,2,2023-10-30,9.0
PHI,1,2023-10-30,20.0
PHO,1,2023-10-30,21.0
POR,0,2023-10-30,30.0
SAC,1,2023-10-30,22.0
SAS,1,2023-10-30,23.0
TOR,1,2023-10-30,24.0
UTA,1,2023-10-30,25.0
WAS,1,2023-10-30,26.0
ATL,1,2023-10-31,12.0
BOS,2,2023-10-31,2.0
BRK,0,2023-10-31,27.0
CHO,1,2023-10-31,13.0
CHI,1,2023-10-31,14.0
CLE,1,2023-10-31,15.0
DAL,2,2023-10-31,3.0
DEN,3,2023-10-31,1.0
DET,2,2023-10-31,4.0
GSW,2,2023-10-31,5.0
HOU,0,2023-10-31,28.0
IND,2,2023-10-31,6.0
LAC,2,2023-10-31,7.0
LAL,1,2023-10-31,16.0
MEM,0,2023-10-31,29.0
MIA,1,2023-10-31,17.0
MIL,1,2023-10-31,18.0
MIN,1,2023-10-31,19.0
NOP,2,2023-10-31,8.0
NYK,1,2023-10-31,20.0
OKC,2,2023-10-31,9.0
ORL,2,2023-10-31,10.0
PHI,1,2023-10-31,21.0
PHO,2,2023-10-31,11.0
POR,0,2023-10-31,30.0
SAC,1,2023-10-31,22.0
SAS,1,2023-10-31,23.0
TOR,1,2023-10-31,24.0
UTA,1,2023-10-31,25.0
WAS,1,2023-10-31,26.0
ATL,2,2023-11-01,7.0
BOS,3,2023-11-01,2.0
BRK,1,2023-11-01,18.0
CHO,1,2023-11-01,19.0
CHI,2,2023-11-01,8.0
CLE,1,2023-11-01,20.0
DAL,3,2023-11-01,3.0
DEN,4,2023-11-01,1.0
DET,2,2023-11-01,9.0
GSW,3,2023-11-01,4.0
HOU,0,2023-11-01,29.0
IND,2,2023-11-01,10.0
LAC,3,2023-11-01,5.0
LAL,2,2023-11-01,11.0
MEM,0,2023-11-01,30.0
MIA,1,2023-11-01,21.0
MIL,2,2023-11-01,12.0
MIN,1,2023-11-01,22.0
NOP,2,2023-11-01,13.0
NYK,2,2023-11-01,14.0
OKC,3,2023-11-01,6.0
ORL,2,2023-11-01,15.0
PHI,1,2023-11-01,23.0
PHO,2,2023-11-01,16.0
POR,1,2023-11-01,24.0
SAC,2,2023-11-01,17.0
SAS,1,2023-11-01,25.0
TOR,1,2023-11-01,26.0
UTA,1,2023-11-01,27.0
WAS,1,2023-11-01,28.0
ATL,2,2023-11-02,8.0
BOS,3,2023-11-02,2.0
BRK,1,2023-11-02,22.0
CHO,1,2023-11-02,23.0
CHI,2,2023-11-02,9.0
CLE,1,2023-11-02,24.0
DAL,3,2023-11-02,3.0
DEN,4,2023-11-02,1.0
DET,2,2023-11-02,10.0
GSW,3,2023-11-02,4.0
HOU,0,2023-11-02,29.0
IND,2,2023-11-02,11.0
LAC,3,2023-11-02,5.0
LAL,2,2023-11-02,12.0
MEM,0,2023-11-02,30.0
MIA,1,2023-11-02,25.0
MIL,2,2023-11-02,13.0
MIN,1,2023-11-02,26.0
NOP,3,2023-11-02,6.0
NYK,2,2023-11-02,14.0
OKC,3,2023-11-02,7.0
ORL,2,2023-11-02,15.0
PHI,2,2023-11-02,16.0
PHO,2,2023-11-02,17.0
POR,1,2023-11-02,27.0
SAC,2,2023-11-02,18.0
SAS,2,2023-11-02,19.0
TOR,2,2023-11-02,20.0
UTA,2,2023-11-02,21.0
WAS,1,2023-11-02,28.0
ATL,2,2023-11-03,8.0
BOS,3,2023-11-03,4.0
BRK,2,2023-11-03,9.0
CHO,1,2023-11-03,25.0
CHI,2,2023-11-03,10.0
CLE,2,2023-11-03,11.0
DAL,4,2023-11-03,1.0
DEN,4,2023-11-03,2.0
DET,2,2023-11-03,12.0
GSW,4,2023-11-03,3.0
HOU,0,2023-11-03,29.0
IND,2,2023-11-03,13.0
LAC,3,2023-11-03,5.0
LAL,2,2023-11-03,14.0
MEM,0,2023-11-03,30.0
MIA,1,2023-11-03,26.0
MIL,2,2023-11-03,15.0
MIN,1,2023-11-03,27.0
NOP,3,2023-11-03,6.0
NYK,2,2023-11-03,16.0
OKC,3,2023-11-03,7.0
ORL,2,2023-11-03,17.0
PHI,2,2023-11-03,18.0
PHO,2,2023-11-03,19.0
POR,2,2023-11-03,20.0
SAC,2,2023-11-03,21.0
SAS,2,2023-11-03,22.0
TOR,2,2023-11-03,23.0
UTA,2,2023-11-03,24.0
WAS,1,2023-11-03,28.0
ATL,3,2023-11-04,6.0
BOS,4,2023-11-04,2.0
BRK,3,2023-11-04,7.0
CHO,1,2023-11-04,26.0
CHI,2,2023-11-04,14.0
CLE,2,2023-11-04,15.0
DAL,4,2023-11-04,3.0
DEN,5,2023-11-04,1.0
DET,2,2023-11-04,16.0
GSW,4,2023-11-04,4.0
HOU,1,2023-11-04,27.0
IND,3,2023-11-04,8.0
LAC,3,2023-11-04,9.0
LAL,3,2023-11-04,10.0
MEM,0,2023-11-04,30.0
MIA,1,2023-11-04,28.0
MIL,2,2023-11-04,17.0
MIN,2,2023-11-04,18.0
NOP,4,2023-11-04,5.0
NYK,2,2023-11-04,19.0
OKC,3,2023-11-04,11.0
ORL,3,2023-11-04,12.0
PHI,3,2023-11-04,13.0
PHO,2,2023-11-04,20.0
POR,2,2023-11-04,21.0
SAC,2,2023-11-04,22.0
SAS,2,2023-11-04,23.0
TOR,2,2023-11-04,24.0
UTA,2,2023-11-04,25.0
WAS,1,2023-11-04,29.0
ATL,3,2023-11-05,6.0
BOS,4,2023-11-05,3.0
BRK,3,2023-11-05,7.0
CHO,2,2023-11-05,16.0
CHI,2,2023-11-05,17.0
CLE,2,2023-11-05,18.0
DAL,4,2023-11-05,4.0
DEN,5,2023-11-05,1.0
DET,2,2023-11-05,19.0
GSW,5,2023-11-05,2.0
HOU,1,2023-11-05,27.0
IND,3,2023-11-05,8.0
LAC,3,2023-11-05,9.0
LAL,3,2023-11-05,10.0
MEM,0,2023-11-05,30.0
MIA,1,2023-11-05,28.0
MIL,2,2023-11-05,20.0
MIN,2,2023-11-05,21.0
NOP,4,2023-11-05,5.0
NYK,2,2023-11-05,22.0
OKC,3,2023-11-05,11.0
ORL,3,2023-11-05,12.0
PHI,3,2023-11-05,13.0
PHO,2,2023-11-05,23.0
POR,3,2023-11-05,14.0
SAC,2,2023-11-05,24.0
SAS,3,2023-11-05,15.0
TOR,2,2023-11-05,25.0
UTA,2,2023-11-05,26.0
WAS,1,2023-11-05,29.0
ATL,4,2023-11-06,5.0
BOS,5,2023-11-06,2.0
BRK,3,2023-11-06,9.0
CHO,2,2023-11-06,18.0
CHI,2,2023-11-06,19.0
CLE,2,2023-11-06,20.0
DAL,5,2023-11-06,3.0
DEN,6,2023-11-06,1.0
DET,2,2023-11-06,21.0
GSW,5,2023-11-06,4.0
HOU,2,2023-11-06,22.0
IND,3,2023-11-06,10.0
LAC,3,2023-11-06,11.0
LAL,3,2023-11-06,12.0
MEM,0,2023-11-06,30.0
MIA,2,2023-11-06,23.0
MIL,3,2023-11-06,13.0
MIN,3,2023-11-06,14.0
NOP,4,2023-11-06,6.0
NYK,2,2023-11-06,24.0
OKC,3,2023-11-06,15.0
ORL,4,2023-11-06,7.0
PHI,4,2023-11-06,8.0
PHO,2,2023-11-06,25.0
POR,3,2023-11-06,16.0
SAC,2,2023-11-06,26.0
SAS,3,2023-11-06,17.0
TOR,2,2023-11-06,27.0
UTA,2,2023-11-06,28.0
WAS,1,2023-11-06,29.0
ATL,4,2023-11-08,6.0
BOS,5,2023-11-08,4.0
BRK,3,2023-11-08,13.0
CHO,2,2023-11-08,25.0
CHI,3,2023-11-08,14.0
CLE,3,2023-11-08,15.0
DAL,6,2023-11-08,2.0
DEN,7,2023-11-08,1.0
DET,2,2023-11-08,26.0
GSW,6,2023-11-08,3.0
HOU,3,2023-11-08,16.0
IND,4,2023-11-08,7.0
LAC,3,2023-11-08,17.0
LAL,3,2023-11-08,18.0
MEM,1,2023-11-08,29.0
MIA,3,2023-11-08,19.0
MIL,4,2023-11-08,8.0
MIN,4,2023-11-08,9.0
NOP,4,2023-11-08,10.0
NYK,3,2023-11-08,20.0
OKC,4,2023-11-08,11.0
ORL,4,2023-11-08,12.0
PHI,5,2023-11-08,5.0
PHO,3,2023-11-08,21.0
POR,3,2023-11-08,22.0
SAC,2,2023-11-08,27.0
SAS,3,2023-11-08,23.0
TOR,3,2023-11-08,24.0
UTA,2,2023-11-08,28.0
WAS,1,2023-11-08,30.0
ATL,4,2023-11-09,8.0
BOS,5,2023-11-09,4.0
BRK,3,2023-11-09,13.0
CHO,2,2023-11-09,25.0
CHI,3,2023-11-09,14.0
CLE,3,2023-11-09,15.0
DAL,6,2023-11-09,2.0
DEN,7,2023-11-09,1.0
DET,2,2023-11-09,26.0
GSW,6,2023-11-09,3.0
HOU,3,2023-11-09,16.0
IND,5,2023-11-09,5.0
LAC,3,2023-11-09,17.0
LAL,3,2023-11-09,18.0
MEM,1,2023-11-09,29.0
MIA,3,2023-11-09,19.0
MIL,5,2023-11-09,6.0
MIN,4,2023-11-09,9.0
NOP,4,2023-11-09,10.0
NYK,3,2023-11-09,20.0
OKC,4,2023-11-09,11.0
ORL,4,2023-11-09,12.0
PHI,5,2023-11-09,7.0
PHO,3,2023-11-09,21.0
POR,3,2023-11-09,22.0
SAC,2,2023-11-09,27.0
SAS,3,2023-11-09,23.0
TOR,3,2023-11-09,24.0
UTA,2,2023-11-09,28.0
WAS,1,2023-11-09,30.0
ATL,4,2023-11-10,10.0
BOS,5,2023-11-10,5.0
BRK,4,2023-11-10,11.0
CHO,2,2023-11-10,26.0
CHI,3,2023-11-10,16.0
CLE,3,2023-11-10,17.0
DAL,6,2023-11-10,2.0
DEN,7,2023-11-10,1.0
DET,2,2023-11-10,27.0
GSW,6,2023-11-10,3.0
HOU,4,2023-11-10,12.0
IND,5,2023-11-10,6.0
LAC,3,2023-11-10,18.0
LAL,3,2023-11-10,19.0
MEM,1,2023-11-10,30.0
MIA,3,2023-11-10,20.0
MIL,5,2023-11-10,7.0
MIN,5,2023-11-10,8.0
NOP,4,2023-11-10,13.0
NYK,3,2023-11-10,21.0
OKC,5,2023-11-10,9.0
ORL,4,2023-11-10,14.0
PHI,6,2023-11-10,4.0
PHO,4,2023-11-10,15.0
POR,3,2023-11-10,22.0
SAC,3,2023-11-10,23.0
SAS,3,2023-11-10,24.0
TOR,3,2023-11-10,25.0
UTA,2,2023-11-10,28.0
WAS,2,2023-11-10,29.0
ATL,5,2023-11-11,6.0
BOS,6,2023-11-11,2.0
BRK,4,2023-11-11,11.0
CHO,2,2023-11-11,26.0
CHI,3,2023-11-11,18.0
CLE,3,2023-11-11,19.0
DAL,6,2023-11-11,3.0
DEN,7,2023-11-11,1.0
DET,2,2023-11-11,27.0
GSW,6,2023-11-11,4.0
HOU,4,2023-11-11,12.0
IND,5,2023-11-11,7.0
LAC,3,2023-11-11,20.0
LAL,3,2023-11-11,21.0
MEM,1,2023-11-11,30.0
MIA,4,2023-11-11,13.0
MIL,5,2023-11-11,8.0
MIN,5,2023-11-11,9.0
NOP,4,2023-11-11,14.0
NYK,3,2023-11-11,22.0
OKC,5,2023-11-11,10.0
ORL,4,2023-11-11,15.0
PHI,6,2023-11-11,5.0
PHO,4,2023-11-11,16.0
POR,3,2023-11-11,23.0
SAC,3,2023-11-11,24.0
SAS,3,2023-11-11,25.0
TOR,4,2023-11-11,17.0
UTA,2,2023-11-11,28.0
WAS,2,2023-11-11,29.0
ATL,5,2023-11-12,8.0
BOS,6,2023-11-12,4.0
BRK,4,2023-11-12,13.0
CHO,3,2023-11-12,20.0
CHI,3,2023-11-12,21.0
CLE,3,2023-11-12,22.0
DAL,7,2023-11-12,2.0
DEN,8,2023-11-12,1.0
DET,2,2023-11-12,27.0
GSW,6,2023-11-12,5.0
HOU,5,2023-11-12,9.0
IND,6,2023-11-12,6.0
LAC,3,2023-11-12,23.0
LAL,4,2023-11-12,14.0
MEM,1,2023-11-12,30.0
MIA,5,2023-11-12,10.0
MIL,5,2023-11-12,11.0
MIN,6,2023-11-12,7.0
NOP,4,2023-11-12,15.0
NYK,4,2023-11-12,16.0
OKC,5,2023-11-12,12.0
ORL,4,2023-11-12,17.0
PHI,7,2023-11-12,3.0
PHO,4,2023-11-12,18.0
POR,3,2023-11-12,24.0
SAC,3,2023-11-12,25.0
SAS,3,2023-11-12,26.0
TOR,4,2023-11-12,19.0
UTA,2,2023-11-12,28.0
WAS,2,2023-11-12,29.0
ATL,5,2023-11-13,8.0
BOS,7,2023-11-13,2.0
BRK,4,2023-11-13,14.0
CHO,3,2023-11-13,23.0
CHI,4,2023-11-13,15.0
CLE,4,2023-11-13,16.0
DAL,7,2023-11-13,3.0
DEN,8,2023-11-13,1.0
DET,2,2023-11-13,27.0
GSW,6,2023-11-13,5.0
HOU,5,2023-11-13,9.0
IND,6,2023-11-13,6.0
LAC,3,2023-11-13,24.0
LAL,4,2023-11-13,17.0
MEM,1,2023-11-13,30.0
MIA,5,2023-11-13,10.0
MIL,5,2023-11-13,11.0
MIN,6,2023-11-13,7.0
NOP,4,2023-11-13,18.0
NYK,5,2023-11-13,12.0
OKC,5,2023-11-13,13.0
ORL,4,2023-11-13,19.0
PHI,7,2023-11-13,4.0
PHO,4,2023-11-13,20.0
POR,3,2023-11-13,25.0
SAC,4,2023-11-13,21.0
SAS,3,2023-11-13,26.0
TOR,4,2023-11-13,22.0
UTA,2,2023-11-13,28.0
WAS,2,2023-11-13,29.0
ATL,5,2023-11-14,10.0
BOS,7,2023-11-14,4.0
BRK,5,2023-11-14,11.0
CHO,3,2023-11-14,23.0
CHI,4,2023-11-14,17.0
CLE,4,2023-11-14,18.0
DAL,8,2023-11-14,1.0
DEN,8,2023-11-14,2.0
DET,2,2023-11-14,28.0
GSW,6,2023-11-14,6.0
HOU,5,2023-11-14,12.0
IND,6,2023-11-14,7.0
LAC,3,2023-11-14,24.0
LAL,5,2023-11-14,13.0
MEM,2,2023-11-14,29.0
MIA,6,2023-11-14,8.0
MIL,5,2023-11-14,14.0
MIN,7,2023-11-14,5.0
NOP,4,2023-11-14,19.0
NYK,5,2023-11-14,15.0
OKC,6,2023-11-14,9.0
ORL,5,2023-11-14,16.0
PHI,8,2023-11-14,3.0
PHO,4,2023-11-14,20.0
POR,3,2023-11-14,25.0
SAC,4,2023-11-14,21.0
SAS,3,2023-11-14,26.0
TOR,4,2023-11-14,22.0
UTA,3,2023-11-14,27.0
WAS,2,2023-11-14,30.0
ATL,6,2023-11-15,6.0
BOS,8,2023-11-15,1.0
BRK,5,2023-11-15,13.0
CHO,3,2023-11-15,23.0
CHI,4,2023-11-15,19.0
CLE,4,2023-11-15,20.0
DAL,8,2023-11-15,2.0
DEN,8,2023-11-15,3.0
DET,2,2023-11-15,28.0
GSW,6,2023-11-15,7.0
HOU,5,2023-11-15,14.0
IND,6,2023-11-15,8.0
LAC,3,2023-11-15,24.0
LAL,6,2023-11-15,9.0
MEM,2,2023-11-15,29.0
MIA,6,2023-11-15,10.0
MIL,6,2023-11-15,11.0
MIN,8,2023-11-15,4.0
NOP,4,2023-11-15,21.0
NYK,5,2023-11-15,15.0
OKC,6,2023-11-15,12.0
ORL,5,2023-11-15,16.0
PHI,8,2023-11-15,5.0
PHO,4,2023-11-15,22.0
POR,3,2023-11-15,25.0
SAC,5,2023-11-15,17.0
SAS,3,2023-11-15,26.0
TOR,5,2023-11-15,18.0
UTA,3,2023-11-15,27.0
WAS,2,2023-11-15,30.0
ATL,6,2023-11-16,8.0
BOS,8,2023-11-16,1.0
BRK,6,2023-11-16,9.0
CHO,3,2023-11-16,23.0
CHI,4,2023-11-16,19.0
CLE,4,2023-11-16,20.0
DAL,8,2023-11-16,2.0
DEN,8,2023-11-16,3.0
DET,2,2023-11-16,28.0
GSW,6,2023-11-16,10.0
HOU,5,2023-11-16,14.0
IND,6,2023-11-16,11.0
LAC,3,2023-11-16,24.0
LAL,6,2023-11-16,12.0
MEM,2,2023-11-16,29.0
MIA,7,2023-11-16,6.0
MIL,6,2023-11-16,13.0
MIN,8,2023-11-16,4.0
NOP,4,2023-11-16,21.0
NYK,5,2023-11-16,15.0
OKC,7,2023-11-16,7.0
ORL,5,2023-11-16,16.0
PHI,8,2023-11-16,5.0
PHO,4,2023-11-16,22.0
POR,3,2023-11-16,25.0
SAC,5,2023-11-16,17.0
SAS,3,2023-11-16,26.0
TOR,5,2023-11-16,18.0
UTA,3,2023-11-16,27.0
WAS,2,2023-11-16,30.0
ATL,6,2023-11-17,9.0
BOS,9,2023-11-17,1.0
BRK,6,2023-11-17,10.0
CHO,3,2023-11-17,24.0
CHI,4,2023-11-17,22.0
CLE,5,2023-11-17,18.0
DAL,8,2023-11-17,3.0
DEN,9,2023-11-17,2.0
DET,2,2023-11-17,28.0
GSW,6,2023-11-17,11.0
HOU,6,2023-11-17,12.0
IND,6,2023-11-17,13.0
LAC,3,2023-11-17,25.0
LAL,6,2023-11-17,14.0
MEM,2,2023-11-17,29.0
MIA,7,2023-11-17,6.0
MIL,7,2023-11-17,7.0
MIN,8,2023-11-17,4.0
NOP,5,2023-11-17,19.0
NYK,6,2023-11-17,15.0
OKC,7,2023-11-17,8.0
ORL,6,2023-11-17,16.0
PHI,8,2023-11-17,5.0
PHO,5,2023-11-17,20.0
POR,3,2023-11-17,26.0
SAC,6,2023-11-17,17.0
SAS,3,2023-11-17,27.0
TOR,5,2023-11-17,21.0
UTA,4,2023-11-17,23.0
WAS,2,2023-11-17,30.0
ATL,6,2023-11-18,10.0
BOS,9,2023-11-18,1.0
BRK,6,2023-11-18,11.0
CHO,3,2023-11-18,24.0
CHI,4,2023-11-18,22.0
CLE,5,2023-11-18,19.0
DAL,9,2023-11-18,2.0
DEN,9,2023-11-18,3.0
DET,2,2023-11-18,28.0
GSW,6,2023-11-18,12.0
HOU,6,2023-11-18,13.0
IND,6,2023-11-18,14.0
LAC,3,2023-11-18,25.0
LAL,6,2023-11-18,15.0
MEM,2,2023-11-18,29.0
MIA,8,2023-11-18,4.0
MIL,8,2023-11-18,5.0
MIN,8,2023-11-18,6.0
NOP,6,2023-11-18,16.0
NYK,7,2023-11-18,9.0
OKC,8,2023-11-18,7.0
ORL,6,2023-11-18,17.0
PHI,8,2023-11-18,8.0
PHO,5,2023-11-18,20.0
POR,3,2023-11-18,26.0
SAC,6,2023-11-18,18.0
SAS,3,2023-11-18,27.0
TOR,5,2023-11-18,21.0
UTA,4,2023-11-18,23.0
WAS,2,2023-11-18,30.0
ATL,6,2023-11-19,14.0
BOS,10,2023-11-19,1.0
BRK,6,2023-11-19,15.0
CHO,3,2023-11-19,24.0
CHI,4,2023-11-19,22.0
CLE,6,2023-11-19,16.0
DAL,9,2023-11-19,2.0
DEN,9,2023-11-19,3.0
DET,2,2023-11-19,29.0
GSW,6,2023-11-19,17.0
HOU,6,2023-11-19,18.0
IND,7,2023-11-19,9.0
LAC,3,2023-11-19,25.0
LAL,7,2023-11-19,10.0
MEM,3,2023-11-19,26.0
MIA,8,2023-11-19,6.0
MIL,8,2023-11-19,7.0
MIN,8,2023-11-19,8.0
NOP,6,2023-11-19,19.0
NYK,7,2023-11-19,11.0
OKC,9,2023-11-19,4.0
ORL,7,2023-11-19,12.0
PHI,9,2023-11-19,5.0
PHO,6,2023-11-19,20.0
POR,3,2023-11-19,27.0
SAC,7,2023-11-19,13.0
SAS,3,2023-11-19,28.0
TOR,5,2023-11-19,21.0
UTA,4,2023-11-19,23.0
WAS,2,2023-11-19,30.0
ATL,6,2023-11-20,14.0
BOS,11,2023-11-20,1.0
BRK,6,2023-11-20,15.0
CHO,3,2023-11-20,25.0
CHI,5,2023-11-20,21.0
CLE,6,2023-11-20,16.0
DAL,9,2023-11-20,2.0
DEN,9,2023-11-20,3.0
DET,2,2023-11-20,29.0
GSW,6,2023-11-20,17.0
HOU,6,2023-11-20,18.0
IND,7,2023-11-20,11.0
LAC,4,2023-11-20,23.0
LAL,7,2023-11-20,12.0
MEM,3,2023-11-20,26.0
MIA,8,2023-11-20,8.0
MIL,9,2023-11-20,4.0
MIN,9,2023-11-20,5.0
NOP,6,2023-11-20,19.0
NYK,8,2023-11-20,9.0
OKC,9,2023-11-20,6.0
ORL,7,2023-11-20,13.0
PHI,9,2023-11-20,7.0
PHO,6,2023-11-20,20.0
POR,3,2023-11-20,27.0
SAC,8,2023-11-20,10.0
SAS,3,2023-11-20,28.0
TOR,5,2023-11-20,22.0
UTA,4,2023-11-20,24.0
WAS,2,2023-11-20,30.0
ATL,6,2023-11-21,16.0
BOS,11,2023-11-21,1.0
BRK,6,2023-11-21,17.0
CHO,3,2023-11-21,25.0
CHI,5,2023-11-21,22.0
CLE,7,2023-11-21,13.0
DAL,9,2023-11-21,3.0
DEN,9,2023-11-21,4.0
DET,2,2023-11-21,29.0
GSW,6,2023-11-21,18.0
HOU,6,2023-11-21,19.0
IND,7,2023-11-21,14.0
LAC,4,2023-11-21,23.0
LAL,8,2023-11-21,8.0
MEM,3,2023-11-21,26.0
MIA,8,2023-11-21,9.0
