Away,Home,Result,Date
HOU,DAL,0,2023-11-28
MIL,MIA,1,2023-11-28
OKC,MIN,0,2023-11-28
TOR,BRK,0,2023-11-28
HOU,DEN,0,2023-11-29
LAC,SAC,1,2023-11-29
LAL,DET,1,2023-11-29
PHI,NOP,0,2023-11-29
PHO,TOR,0,2023-11-29
UTA,MEM,0,2023-11-29
WAS,ORL,0,2023-11-29
ATL,SAS,1,2023-11-30
CHO,BRK,1,2023-11-30
DET,NYK,0,2023-11-30
IND,MIA,0,2023-11-30
LAC,GSW,0,2023-11-30
LAL,OKC,0,2023-11-30
MIL,CHI,0,2023-11-30
POR,CLE,1,2023-11-30
UTA,MIN,0,2023-11-30
DEN,PHO,1,2023-12-01
MEM,DAL,1,2023-12-01
NYK,TOR,1,2023-12-01
PHI,BOS,0,2023-12-01
SAS,NOP,0,2023-12-01
WAS,ORL,0,2023-12-01
ATL,MIL,0,2023-12-02
CLE,DET,1,2023-12-02
DEN,SAC,0,2023-12-02
GSW,LAC,0,2023-12-02
HOU,LAL,0,2023-12-02
IND,MIA,1,2023-12-02
MEM,PHO,0,2023-12-02
MIN,CHO,1,2023-12-02
NOP,CHI,0,2023-12-02
OKC,DAL,1,2023-12-02
ORL,BRK,0,2023-12-02
POR,UTA,0,2023-12-02
BOS,IND,0,2023-12-04
NOP,SAC,1,2023-12-04
NYK,MIL,0,2023-12-05
PHO,LAL,0,2023-12-05
BRK,ATL,1,2023-12-06
CHO,CHI,0,2023-12-06
DEN,LAC,0,2023-12-06
MEM,DET,1,2023-12-06
MIA,TOR,1,2023-12-06
OKC,HOU,0,2023-12-06
ORL,CLE,0,2023-12-06
PHI,WAS,1,2023-12-06
POR,GSW,0,2023-12-06
SAS,MIN,0,2023-12-06
UTA,DAL,0,2023-12-06
IND,MIL,1,2023-12-07
NOP,LAL,0,2023-12-07
ATL,PHI,0,2023-12-08
CHI,SAS,1,2023-12-08
CLE,MIA,1,2023-12-08
DAL,POR,1,2023-12-08
DET,ORL,0,2023-12-08
GSW,OKC,0,2023-12-08
HOU,DEN,1,2023-12-08
LAC,UTA,1,2023-12-08
MIN,MEM,1,2023-12-08
NYK,BOS,0,2023-12-08
SAC,PHO,1,2023-12-08
TOR,CHO,0,2023-12-08
WAS,BRK,0,2023-12-08
BRK,SAC,0,2023-12-11
CHI,MIL,0,2023-12-11
CLE,ORL,0,2023-12-11
DAL,MEM,1,2023-12-11
DEN,ATL,1,2023-12-11
IND,DET,1,2023-12-11
MIA,CHO,1,2023-12-11
MIN,NOP,0,2023-12-11
POR,LAC,0,2023-12-11
SAS,HOU,0,2023-12-11
TOR,NYK,0,2023-12-11
UTA,OKC,0,2023-12-11
WAS,PHI,0,2023-12-11
CLE,BOS,0,2023-12-12
DEN,CHI,1,2023-12-12
GSW,PHO,0,2023-12-12
LAL,DAL,0,2023-12-12
SAC,LAC,0,2023-12-12
ATL,TOR,0,2023-12-13
BRK,PHO,1,2023-12-13
CHO,MIA,0,2023-12-13
IND,MIL,0,2023-12-13
LAL,SAS,1,2023-12-13
MEM,HOU,0,2023-12-13
NOP,WAS,1,2023-12-13
NYK,UTA,0,2023-12-13
PHI,DET,1,2023-12-13
BRK,DEN,0,2023-12-14
CHI,MIA,1,2023-12-14
CLE,BOS,0,2023-12-14
GSW,LAC,0,2023-12-14
MIN,DAL,1,2023-12-14
OKC,SAC,0,2023-12-14
UTA,POR,1,2023-12-14
ATL,TOR,1,2023-12-15
DET,PHI,0,2023-12-15
HOU,MEM,1,2023-12-15
IND,WAS,0,2023-12-15
LAL,SAS,0,2023-12-15
NOP,CHO,1,2023-12-15
NYK,PHO,1,2023-12-15
ORL,BOS,0,2023-12-15
ATL,CLE,0,2023-12-16
BRK,GSW,0,2023-12-16
CHI,MIA,0,2023-12-16
DAL,POR,1,2023-12-16
DET,MIL,0,2023-12-16
IND,MIN,0,2023-12-16
NYK,LAC,0,2023-12-16
OKC,DEN,1,2023-12-16
PHI,CHO,1,2023-12-16
UTA,SAC,0,2023-12-16
